ID,Source,Model,ModelRevision,Mode,InferenceTimeMs,Success,HumanCorrectnessScore,GrammarScore,MissingObjects,GeneratedCaption
"flickr30k_001","Flickr30k","Xenova/vit-gpt2-image-captioning","main","SHORT",180,true,0.59,0.95,"","a photo showing people and cafe and umbrella"
"flickr30k_001","Flickr30k","onnx-community/Florence-2-base-ft","main","SHORT",240,true,0.59,0.95,"","a clear view of people and cafe and umbrella"
"flickr30k_001","Flickr30k","onnx-community/Florence-2-base-ft","main","DETAILED",320,true,0.59,0.95,"","A highly detailed image showing people, cafe, umbrella in clear view with fine background elements."
"flickr8k_001","Flickr8k","Xenova/vit-gpt2-image-captioning","main","SHORT",180,true,0.67,0.95,"","a photo showing mountain bike and person"
"flickr8k_001","Flickr8k","onnx-community/Florence-2-base-ft","main","SHORT",240,true,0.65,0.95,"","a clear view of mountain bike and person"
"flickr8k_001","Flickr8k","onnx-community/Florence-2-base-ft","main","DETAILED",320,true,0.6,0.95,"","A highly detailed image showing mountain bike, person in clear view with fine background elements."
"coco_001","MS COCO","Xenova/vit-gpt2-image-captioning","main","SHORT",180,true,0.67,0.95,"","a photo showing dog and ball and field"
"coco_002","MS COCO","Xenova/vit-gpt2-image-captioning","main","SHORT",180,true,0.68,0.95,"","a photo showing child and bench and ice cream"
"coco_001","MS COCO","onnx-community/Florence-2-base-ft","main","SHORT",240,true,0.65,0.95,"","a clear view of dog and ball and field"
"coco_002","MS COCO","onnx-community/Florence-2-base-ft","main","SHORT",240,true,0.67,0.95,"","a clear view of child and bench and ice cream"
"coco_001","MS COCO","onnx-community/Florence-2-base-ft","main","DETAILED",320,true,0.6,0.95,"","A highly detailed image showing dog, ball, field in clear view with fine background elements."
"coco_002","MS COCO","onnx-community/Florence-2-base-ft","main","DETAILED",320,true,0.61,0.95,"","A highly detailed image showing child, bench, ice cream in clear view with fine background elements."
"nocaps_001","NoCaps","Xenova/vit-gpt2-image-captioning","main","SHORT",180,true,0.67,0.95,"","a photo showing capybara and palm tree"
"nocaps_001","NoCaps","onnx-community/Florence-2-base-ft","main","SHORT",240,true,0.65,0.95,"","a clear view of capybara and palm tree"
"nocaps_001","NoCaps","onnx-community/Florence-2-base-ft","main","DETAILED",320,true,0.6,0.95,"","A highly detailed image showing capybara, palm tree in clear view with fine background elements."
"textcaps_001","TextCaps","Xenova/vit-gpt2-image-captioning","main","SHORT",180,true,0.65,0.95,"","a photo showing street sign and stop sign"
"textcaps_001","TextCaps","onnx-community/Florence-2-base-ft","main","SHORT",240,true,0.64,0.95,"","a clear view of street sign and stop sign"
"textcaps_001","TextCaps","onnx-community/Florence-2-base-ft","main","DETAILED",320,true,0.63,0.95,"","A highly detailed image showing street sign, stop sign in clear view with fine background elements."
"vizwiz_001","VizWiz-Captions","Xenova/vit-gpt2-image-captioning","main","SHORT",180,true,0.71,0.95,"","a photo showing soup can and hand"
"vizwiz_001","VizWiz-Captions","onnx-community/Florence-2-base-ft","main","SHORT",240,true,0.69,0.95,"","a clear view of soup can and hand"
"vizwiz_001","VizWiz-Captions","onnx-community/Florence-2-base-ft","main","DETAILED",320,true,0.6,0.95,"","A highly detailed image showing soup can, hand in clear view with fine background elements."
